Die Schriften des Alten Testaments;EinlAT;0;1;1;Die Bibel [griechisch bíblos = Buch] oder die Heilige Schrift ist eine Sammlung von Büchern, die das Alte und Neue Testament umfasst. Das Alte Testament wird von Juden und Christen als Offenbarungsurkunde betrachtet. Die Bücher des Alten Testaments stammen von Verfassern, durch die Gott zu den Menschen spricht und durch die das Volk Israel seinen Glauben an die Heilstaten und Verheißungen Gottes bekennt. Juden und Christen glauben an die Inspiration (Eingebung) dieser Bücher durch den Geist Gottes. Das Verzeichnis der Bücher, die zur Heiligen Schrift gehören, nennt man Kanon [griechisch kanón = Maßstab], weil sie den Maßstab für den Glauben darstellen. Jesus und seine Jünger übernahmen die Bücher der Heiligen Schrift, wie sie ihr Volk kannte, und beriefen sich in ihrer Botschaft auf sie als auf das Wort Gottes.;
Die Schriften des Neuen Testaments;EinlNT;47;1;1;"Jesus Christus erhob den Anspruch, der Retter und Heilbringer zu sein, den Gott im Alten Testament verheißen hatte. So übernahm die christliche Kirche das Alte Testament als Heilige Schrift; daneben überlieferte sie die Worte Jesu und die Berichte über seine Taten und sein Schicksal. Die Worte Jesu wurden schon früh aufgezeichnet, um sie für die Glaubensunterweisung, die Verkündigung im Gottesdienst und für die Missionspredigt verwenden zu können. Bald wurden auch die Berichte über das Leiden Jesu und über die Ereignisse nach seinem Tod niedergeschrieben. Markus verfasste als erster ein Evangelium. Weitere Evangelienbücher folgten. Daneben entstanden auch andere urchristliche Schriften verschiedenster Art: Briefe von Aposteln und führenden Männern der Kirche an christliche Gemeinden und einzelne Persönlichkeiten; eine Geschichte der jungen Kirche bis zum Aufenthalt des Apostels Paulus in Rom; theologische Lehrschriften, seelsorgliche Anweisungen und ein prophetisches Buch über das Schicksal der Kirche in Gegenwart und Zukunft. Alle diese Schriften wurden etwa zwischen 50 und 120 n. Chr. abgefasst.";
Die Schriften des Neuen Testaments;EinlNT;47;1;2;Die im Neuen Testament, dem Buch des Neuen Bundes, enthaltenen urchristlichen Schriften wurden von der Kirche des 2. Jahrhunderts gesammelt, weil sie den Glauben der apostolischen und nachapostolischen Zeit auf zuverlässige Weise bezeugen. Nach Auffassung der Kirche sind sie unter dem Beistand des Heiligen Geistes abgefasst worden. Sie galten von früh an als für den Glauben und das Leben der Kirche maßgebliche Urkunden (kanonische, das heißt maßgebliche Schriften). Obwohl einige Schriften (Hebr, Jak, 2 Petr, Offb) noch bis ins 4. Jahrhundert umstritten blieben, hat sich der in der Kirche gültige »Kanon« (Maßstab, verbindliches Verzeichnis) im wesentlichen in der 2. Hälfte des 2. Jahrhunderts durchgesetzt. Er weist heute folgende Ordnung auf: die vier Evangelien und die Apostelgeschichte, dreizehn Briefe des Apostels Paulus, der Brief an die Hebräer, die sieben sog. Katholischen Briefe und die Offenbarung des Johannes.;
Matthäus;Mt;48;0;1;"Vier Evangelienbücher fanden Aufnahme in das Neue Testament. Sie bezeugen, jedes auf seine Weise, das eine Evangelium von Jesus Christus. Ihre literarische Form zeigt an, dass die Evangelien sog. Sammelwerke sind; ursprünglich einzeln weitergegebene Überlieferungsstücke über Worte und Taten Jesu sind von den Evangelisten gesammelt und durch redaktionelle Überleitungen zu einem Ganzen zusammengefügt worden. Diese Bücher wurden von der frühen Kirche wahrscheinlich nach der damals angenommenen Abfassungszeit geordnet. Das Wort »Evangelium« stammt aus dem Griechischen (euangélion) und bedeutet »gute Nachricht«, »frohe Botschaft«. Mit diesem Wort benannten die Christen ihre Verkündigung von dem endgültigen Heil, das Gott durch Jesus Christus allen Menschen anbietet. Markus verwendete als erster dieses Wort als Überschrift seines Berichts über die Worte, die Taten und das Schicksal Jesu (1,1). Damit entstand eine neue Form religiöser Schriften, die Evangelien.";
Matthäus;Mt;48;0;2;"Die Überschriften der kanonischen Evangelien lauten seit dem 2. Jahrhundert: Das Evangelium nach Matthäus, nach Markus, nach Lukas, nach Johannes. Die ersten drei Evangelien sind untereinander nach Inhalt, Aufbau und Sprache eng verknüpft; darum werden sie »synoptische« Evangelien genannt (synopsis, das heißt Zusammenschau).";
Matthäus;Mt;48;0;3;"Die Überschrift des ersten Evangeliums nennt einen Matthäus als Verfasser und will wohl auf den Zöllner von Kafarnaum verweisen, den Jesus nach Mt 9,9 und 10,3 in den Kreis der Zwölf berief. Matthäus setzt ihn mit dem Levi des Markus- und des Lukasevangeliums gleich (vgl. Mk 2,13-17; Lk 5,27-32). Nach alter kirchlicher Überlieferung soll Matthäus als erster ein Evangelium in hebräischer Sprache verfasst haben. Es sind aber keine Texte von einem solchen hebräischen Evangelium erhalten.";
Matthäus;Mt;48;0;4;Das uns überlieferte Evangelium wurde in griechischer Sprache abgefasst, und es benutzt das griechisch geschriebene Markusevangelium als Vorlage. Es schöpft außerdem aus einer anderen griechischen Vorlage, die auch Lukas verwertet hat, einer heute verloren gegangenen Sammlung von Worten Jesu (sog. Spruch- oder Redequelle). Daraus sind die Bergpredigt, das Vaterunser und eine Reihe von Gleichnissen genommen, die sich bei Matthäus und Lukas, nicht aber bei Markus finden. Außerdem bietet Matthäus Überlieferungen, die weder bei Markus noch bei Lukas begegnen (sog. Sondergut).;
Matthäus;Mt;48;0;5;"Das Evangelium setzt den Untergang Jerusalems (70 n. Chr.) voraus; es ist wohl um 80 n. Chr. verfasst worden, und zwar vermutlich in Syrien (eher als in Palästina). Seinem Inhalt ist zu entnehmen, dass es in einem Gebiet entstanden sein muss, in dem Christen und Juden zusammenlebten. Als Verfasser nimmt man heute einen uns nicht näher bekannten judenchristlichen Lehrer an, der noch Schüler der Apostel war.";
Matthäus;Mt;48;0;6;"Matthäus sammelt Überlieferungen über Jesus, vor allem Worte Jesu, und ordnet sie zeitlich und thematisch in den dreistufigen Aufbau ein, den das Markusevangelium bietet: Anfang in Galiläa; Unterweisung der Jünger und Zug nach Jerusalem; Leiden und Tod in dieser Stadt. An den Anfang stellt er die Vorgeschichte Jesu, an das Ende einen Bericht von der abschließenden Erscheinung des Auferstandenen in Galiläa.";
Matthäus;Mt;48;0;7;Im Einzelnen lässt sich folgender Aufbau feststellen: Die Herkunft und Kindheit Jesu (1,1 - 2,23). Das Wirken Jesu in Galiläa (3,1 - 18,35) mit den Abschnitten: Vorbereitung (3,1 - 4,11: Taufe, Versuchung), erstes Auftreten in Galiläa und Berufung der ersten Jünger (4,12-25), die Verkündigung des Messias (5,1 - 7,29) und seine Taten (8,1 - 9,34), Aussendungsrede (9,35 - 11,1), Beginn der Entscheidung (11,2 - 12,50), die Rede über das Himmelreich (13,1-53), Belehrung der Jünger (13,54 - 17,27), die Rede über das Leben in der Gemeinde (18,1-35). Das Wirken Jesu in Judäa und Jerusalem (19,1 - 25,46) mit den Abschnitten: der Weg nach Jerusalem (19,1 - 20,34), die Auseinandersetzung mit den Gegnern (21,1 - 23,39) und die Rede über die Endereignisse (24,1 - 25,46). Darauf folgen das Leiden Jesu (26,1 - 27,66) und die Ostergeschichte (28,1-20).;
Matthäus;Mt;48;0;8;"Der Evangelist wollte offenbar seiner Kirche eine Art Handbuch über Jesus und seine Lehre bieten. Seine Darstellung ist von der Absicht geprägt, Jesus als den Erben Abrahams zu erweisen, den verheißenen Messias Israels, der von Anfang an von den religiösen Führern seines Volkes abgelehnt und verfolgt, von Sündern und Heiden aber anerkannt wurde (vgl. 1,1.17.22f; 8,11f; 23,34-39). Diesem Zweck dienen auch die vielen Zitate aus dem Alten Testament. An die Stelle Israels ist nun die Kirche getreten als das wahre Volk Gottes, bestehend aus Juden und Heiden, aufgebaut auf dem Fels Petrus (22,1-14; 21,43; 27,42; 23,38; 16,13-20). Jesus ist als der Sohn des lebendigen Gottes (16,16; 11,25-27) der endgültige Offenbarer, Gesetzgeber und Lehrer (1,21; 11,25-27; 28,16-20). Das zeigen vor allem die fünf großen Reden: die Bergpredigt (Kap. 5 - 7), die Aussendungsrede (9,35 - 11,1), die Reich-Gottes-Rede (Kap. 13), die Rede über die rechte Ordnung in der Gemeinde (18,1-35), die Gerichtsrede über die Schriftgelehrten und Pharisäer und über die letzten Dinge (Kap. 23 - 25). Die Mitte der Forderungen Gottes bildet das Liebesgebot (22,34-40), das nicht nur dem Nächsten, sondern auch dem Feind gegenüber gilt (5,43-48); als Goldene Regel steht es auch an zentraler Stelle der Bergpredigt (7,12; vgl. 18,23-35 und 19,19). Mit der Auferstehung Jesu ist der Weg des Heils zu allen Menschen offen, alle sollen Jünger Jesu und Kinder des Vaters im Himmel werden (28,18-20).";
